Policy,Cache Hit Ratio,Avg Query Latency (s),Total Time (s)
LRU,0.10126582278481013,6.995201110839843e-05,0.1451740264892578
LFU,0.10126582278481013,6.923675537109374e-05,0.1428670883178711
FIFO,0.10126582278481013,5.846023559570312e-05,0.13889193534851074
RANDOM,0.08860759493670886,0.00015959739685058593,0.1462697982788086
RL,0.06329113924050633,0.0036951541900634766,0.153364896774292
