epoch,avg_loss,avg_q_value
0,2.954205461998334,69.85081073633941
1,0.21481914374740438,68.79068324776932
2,0.12704206634112686,68.7903904877244
3,0.23319535061162402,68.83207000022809
4,0.18169872630658943,68.78773257337465
5,0.07352135826162806,68.79683961416941
6,0.15468335632923713,67.37300918417787
7,0.11519248202891745,67.31711479156922
8,0.057129977819724884,67.32096231809109
9,0.05340666653224986,67.35359503656599
10,0.06463864810519818,67.35345751982211
11,0.07227887096571217,65.73222552674784
12,0.040982037100042674,65.84182268125149
13,0.05695722918253674,65.75798040936643
14,0.070499551894263,65.7922205663793
15,0.051456198778429836,65.77450824682384
16,0.040955431087227316,64.6086010201577
17,0.035270462883207836,64.59107287070084
18,0.04795481263189591,64.60619918909332
19,0.04783177929940847,64.59677377256983
20,0.05700018119193878,64.55728812117414
21,0.03936872870370305,63.57398639030356
22,0.04115435840617286,63.50135602102689
23,0.04091879236890669,63.57750056586069
24,0.036218700289873076,63.52506797967722
25,0.03632659504297116,63.52218701858253
26,0.02892258440761994,62.19803881081022
27,0.032248492119655275,62.171360189093505
28,0.03342659875354694,62.15334719926197
29,0.030041060026261755,62.153897802209144
30,0.03515257908040119,62.20406449269454
31,0.02656814252773182,60.968378293315745
32,0.03619960129339987,60.96542364311887
33,0.029479586999935012,60.951102269103295
34,0.0201592631526902,60.96067256639131
35,0.023056460805955067,60.99536181833533
36,0.015114754088491113,59.74929632877279
37,0.02093054641183673,59.713382816440074
38,0.019104272744243245,59.7526353517193
39,0.021310984196090246,59.73303999867385
40,0.022427596400177413,59.77872741713428
41,0.019424955018111256,58.67622642993509
42,0.01938482737716949,58.64406356636
43,0.0200481212572338,58.693632338571504
44,0.02173172087604511,58.603197402644845
45,0.016146179425032388,58.682845490528344
46,0.010666874497131301,57.52966239262212
47,0.01687935930662793,57.52840650050291
48,0.01646930226993857,57.477022936216684
49,0.013512730401482329,57.50449163343277
